GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gitopscalculator Maven Webapp,com.example,Calculator,0,19,0,0,0,5,0,5,0,5
gitopscalculator Maven Webapp,com.example,CalculatorServlet,82,0,5,0,18,0,7,0,3,0
